"method","true","zone","diff","n"
"MC",0.520833333333333,"bias-dominated",-0.0353297745808076,8000
"MC",0.526315789473684,"bias-dominated",-0.0330349487960571,24000
"MC",0.53030303030303,"bias-dominated",-0.0291977119148221,8000
"MC",0.563380281690141,"bias-dominated",-0.0266383096949009,8000
"MC",0.564516129032258,"bias-dominated",-0.0307746051265444,8000
"MC",0.566037735849057,"bias-dominated",-0.0347719025742783,8000
"MC",0.581395348837209,"bias-dominated",-0.0365905163711002,8000
"MC",0.588235294117647,"bias-dominated",-0.0454375052790481,8000
"MC",0.597014925373134,"bias-dominated",-0.0271807959165199,8000
"MC",0.6,"bias-dominated",-0.0689366509683954,8000
"MC",0.603448275862069,"bias-dominated",-0.0320954844555384,8000
"MC",0.625,"bias-dominated",-0.0377511136765383,8000
"MC",0.634920634920635,"bias-dominated",-0.0270690038509494,8000
"MC",0.641025641025641,"bias-dominated",-0.0412990154745103,8000
"MC",0.660377358490566,"bias-dominated",-0.0305853810277811,8000
"MC",0.666666666666667,"bias-dominated",-0.112636647453763,16000
"MC",0.681818181818182,"bias-dominated",-0.0417562467491803,8000
"MC",0.689655172413793,"bias-dominated",-0.026752791143921,8000
"MC",0.714285714285714,"bias-dominated",-0.0439665373935907,16000
"MC",0.740740740740741,"bias-dominated",-0.032323053996437,8000
"MC",0.75,"bias-dominated",-0.0926949539252104,16000
"MC",0.777777777777778,"bias-dominated",-0.044068653373321,8000
"MC",0.8,"bias-dominated",-0.0790137393594805,16000
"MC",0.833333333333333,"bias-dominated",-0.291681388017733,16000
"MC",0.857142857142857,"bias-dominated",-0.094090369974501,8000
"MC",0.875,"bias-dominated",-0.0799759166986439,8000
"MC",0.888888888888889,"bias-dominated",-0.0757842677741351,8000
"MC",0.909090909090909,"bias-dominated",-0.355438264414679,8000
"MC",0.9375,"bias-dominated",-0.269745665843838,8000
"MC",0.952380952380952,"bias-dominated",-0.218666776293217,8000
"MC",0.961538461538462,"bias-dominated",-0.185902109230714,8000
"MC",0.967741935483871,"bias-dominated",-0.164263924431805,8000
"MC",0.972222222222222,"bias-dominated",-0.140814333801885,8000
"MC",0.975609756097561,"bias-dominated",-0.129532134102404,8000
"MCMC",0.111111111111111,"effect-dominated",-0.0218563985508458,8000
"MCMC",0.121951219512195,"effect-dominated",-0.0237449226875251,8000
"MCMC",0.138888888888889,"effect-dominated",-0.0255723170071681,8000
"MCMC",0.15625,"effect-dominated",-0.0257862000707586,8000
"MCMC",0.178571428571429,"effect-dominated",-0.0264964986570486,8000
"MCMC",0.2,"effect-dominated",-0.0429801218768956,8000
"MCMC",0.217391304347826,"effect-dominated",-0.0379885876578752,16000
"MCMC",0.24390243902439,"effect-dominated",-0.0493209963158878,8000
"MCMC",0.263157894736842,"effect-dominated",-0.033150893197056,8000
"MCMC",0.27027027027027,"effect-dominated",-0.0538448406500533,8000
"MCMC",0.272727272727273,"effect-dominated",-0.0389582898241735,8000
"MCMC",0.294117647058824,"effect-dominated",-0.0406571147848604,8000
"MCMC",0.303030303030303,"effect-dominated",-0.0585231952320305,8000
"MCMC",0.326086956521739,"effect-dominated",-0.0423894028695752,8000
"MCMC",0.333333333333333,"mixed",-0.0424878600690261,16000
"MCMC",0.357142857142857,"mixed",-0.0482145734292462,24000
"MCMC",0.384615384615385,"mixed",-0.0331931180709048,8000
"MCMC",0.392156862745098,"mixed",-0.0386642509350986,8000
"MCMC",0.394736842105263,"mixed",-0.0472237541322954,8000
"MCMC",0.40983606557377,"mixed",-0.0350391881780226,8000
"MCMC",0.416666666666667,"mixed",-0.0712238261507472,8000
"MCMC",0.425531914893617,"mixed",-0.040648502664627,8000
"MCMC",0.428571428571428,"mixed",-0.0280033676392095,8000
"MCMC",0.446428571428571,"mixed",-0.0366443409549376,8000
"MCMC",0.454545454545455,"mixed",-0.0422913819365088,16000
"MCMC",0.465116279069767,"mixed",-0.0439423452715855,8000
"MCMC",0.466666666666667,"mixed",-0.0292623984039726,8000
"MCMC",0.480769230769231,"mixed",-0.0368743093472076,8000
"MCMC",0.491803278688525,"mixed",-0.0321097528610035,8000
"MCMC",0.492957746478873,"mixed",-0.029898988742348,8000
"MCMC",0.5,"mixed",-0.0898751890539444,24000
"MCMC",0.517241379310345,"bias-dominated",-0.0598364979213687,8000
"MCMC",0.520833333333333,"bias-dominated",-0.0364772851204693,8000
"MCMC",0.526315789473684,"bias-dominated",-0.034928132621524,24000
"MCMC",0.53030303030303,"bias-dominated",-0.0307324339374717,8000
"MCMC",0.563380281690141,"bias-dominated",-0.0278358089155643,8000
"MCMC",0.564516129032258,"bias-dominated",-0.0322551265899579,8000
"MCMC",0.566037735849057,"bias-dominated",-0.0365052503159421,8000
"MCMC",0.581395348837209,"bias-dominated",-0.0386163937377666,8000
"MCMC",0.588235294117647,"bias-dominated",-0.049556369432673,8000
"MCMC",0.597014925373134,"bias-dominated",-0.0285847024439373,8000
"MCMC",0.6,"bias-dominated",-0.0760530193566515,8000
"MCMC",0.603448275862069,"bias-dominated",-0.0338073763306922,8000
"MCMC",0.625,"bias-dominated",-0.0403783036710777,8000
"MCMC",0.634920634920635,"bias-dominated",-0.0288936756313911,8000
"MCMC",0.641025641025641,"bias-dominated",-0.0451198200464002,8000
"MCMC",0.660377358490566,"bias-dominated",-0.0327557087895086,8000
"MCMC",0.666666666666667,"bias-dominated",-0.124155627808915,16000
"MCMC",0.681818181818182,"bias-dominated",-0.0455446192301205,8000
"MCMC",0.689655172413793,"bias-dominated",-0.029158104099475,8000
"MCMC",0.714285714285714,"bias-dominated",-0.048854545816465,16000
"MCMC",0.740740740740741,"bias-dominated",-0.0352992671753705,8000
"MCMC",0.75,"bias-dominated",-0.102890666616344,16000
"MCMC",0.777777777777778,"bias-dominated",-0.0489974064456583,8000
"MCMC",0.8,"bias-dominated",-0.0874891637585498,16000
"MCMC",0.833333333333333,"bias-dominated",-0.278948157699853,16000
"MCMC",0.857142857142857,"bias-dominated",-0.102638831458408,8000
"MCMC",0.875,"bias-dominated",-0.0886628542588463,8000
"MCMC",0.888888888888889,"bias-dominated",-0.0827713573911571,8000
"MCMC",0.909090909090909,"bias-dominated",-0.378941692115897,8000
"MCMC",0.9375,"bias-dominated",-0.290880014317314,8000
"MCMC",0.952380952380952,"bias-dominated",-0.237088642586495,8000
"MCMC",0.961538461538462,"bias-dominated",-0.200605862083664,8000
"MCMC",0.967741935483871,"bias-dominated",-0.176552091690101,8000
"MCMC",0.972222222222222,"bias-dominated",-0.152028753798985,8000
"MCMC",0.975609756097561,"bias-dominated",-0.139027903514346,8000
