"key","config_id","sigma_ps","se_psi_obs","K","ex_violation","psi","mu_b","bf_true","true_zone","method","bias","rmse","sd","coverage","ci_width"
"cfg1_psi-0.31_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.15,0.326086956521739,"effect-dominated","mc",0.00631971142096937,0.0597399069614295,0.0594344191651388,0.677,0.120924589125068
"cfg1_psi-0.31_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.15,0.326086956521739,"effect-dominated","mcmc",0.00652286830146342,0.0563470583656593,0.0559962387517155,1,0.407651138104089
"cfg1_psi-0.31_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.1,0.24390243902439,"effect-dominated","mc",0.00557894590286037,0.0623575330545595,0.0621385427070284,0.716,0.134290544113284
"cfg1_psi-0.31_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.1,0.24390243902439,"effect-dominated","mcmc",0.00589811265055548,0.0557178911683925,0.0554325575077142,1,0.434524954432975
"cfg1_psi-0.31_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.05,0.138888888888889,"effect-dominated","mc",0.000418985118952036,0.0557137017038162,0.0557400032020889,0.807,0.150357259864854
"cfg1_psi-0.31_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.05,0.138888888888889,"effect-dominated","mcmc",0.00832590376861798,0.0444643336426694,0.0436997249268347,1,0.395130429705153
"cfg1_psi-0.27_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.4,0.597014925373134,"bias-dominated","mc",0.00491991877129728,0.0619509248375159,0.0617861555408969,0.495,0.0821066660420547
"cfg1_psi-0.27_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.4,0.597014925373134,"bias-dominated","mcmc",0.00392361684435527,0.0602052392925728,0.0601073120185285,0.978,0.274903110181987
"cfg1_psi-0.27_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.35,0.564516129032258,"bias-dominated","mc",0.00453516848465082,0.0640676963380864,0.0639389564431272,0.524,0.090185815250512
"cfg1_psi-0.27_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.35,0.564516129032258,"bias-dominated","mcmc",0.00355583127735756,0.0613317359403253,0.061259208189208,0.989,0.2962865094069
"cfg1_psi-0.27_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.3,0.526315789473684,"bias-dominated","mc",0.00709053401628314,0.0652857354082003,0.0649320240166312,0.546,0.0971808165040159
"cfg1_psi-0.27_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.3,0.526315789473684,"bias-dominated","mcmc",0.00644000226173743,0.0623933719763685,0.062091179341371,0.989,0.325071193234504
"cfg1_psi-0.27_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.25,0.480769230769231,"mixed","mc",0.00641369567725659,0.0655074196880561,0.0652253086066251,0.583,0.10622920078933
"cfg1_psi-0.27_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.25,0.480769230769231,"mixed","mcmc",0.00519371546230403,0.0637620590549688,0.0635819798589878,0.993,0.356718026682114
"cfg1_psi-0.27_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.2,0.425531914893617,"mixed","mc",0.00603291955488019,0.0716773137346687,0.071458712088841,0.604,0.117845393553967
"cfg1_psi-0.27_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.2,0.425531914893617,"mixed","mcmc",0.00529185692910285,0.06863379608235,0.0684637239449617,0.994,0.396847800938684
"cfg1_psi-0.27_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.15,0.357142857142857,"mixed","mc",0.0108688708299485,0.0730355927021299,0.0722584717176351,0.651,0.134243068455059
"cfg1_psi-0.27_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.15,0.357142857142857,"mixed","mcmc",0.0102321670173636,0.06855108658007,0.0678170581993929,0.998,0.449137503973275
"cfg1_psi-0.27_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.1,0.27027027027027,"effect-dominated","mc",0.0068949393559273,0.0699795803613268,0.0696739257883481,0.713,0.150142911692113
"cfg1_psi-0.27_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.1,0.27027027027027,"effect-dominated","mcmc",0.00732183281802629,0.0639355552688406,0.0635467086157556,1,0.481114530456025
"cfg1_psi-0.27_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.05,0.15625,"effect-dominated","mc",0.00337623447932811,0.0682335252355154,0.0681840455742925,0.799,0.173032420729247
"cfg1_psi-0.27_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.05,0.15625,"effect-dominated","mcmc",0.0109454927011336,0.0555190146396278,0.0544566129940471,1,0.449161118133831
"cfg1_psi-0.23_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.4,0.634920634920635,"bias-dominated","mc",0.0071778061393664,0.0690471289914996,0.0687073928105359,0.467,0.0874904218143838
"cfg1_psi-0.23_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.4,0.634920634920635,"bias-dominated","mcmc",0.00573156991920711,0.067566876814507,0.0673570257482146,0.974,0.294036685975225
"cfg1_psi-0.23_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.35,0.603448275862069,"bias-dominated","mc",0.00630917501042766,0.0704512620600676,0.0702032986381965,0.518,0.094405126301381
"cfg1_psi-0.23_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.35,0.603448275862069,"bias-dominated","mcmc",0.00547533372741414,0.0683020290323332,0.0681162808601978,0.982,0.316603669805595
"cfg1_psi-0.23_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.3,0.566037735849057,"bias-dominated","mc",0.00528527168032112,0.0758343520461922,0.0756878028286463,0.503,0.104057646060104
"cfg1_psi-0.23_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.3,0.566037735849057,"bias-dominated","mcmc",0.00413931332112884,0.072978961539694,0.0728979356474744,0.979,0.347497263986596
"cfg1_psi-0.23_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.25,0.520833333333333,"bias-dominated","mc",0.00571624195443226,0.078092859548075,0.0779223407085237,0.533,0.113781843209893
"cfg1_psi-0.23_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.25,0.520833333333333,"bias-dominated","mcmc",0.00458934989448841,0.0747166805862996,0.0746129165271923,0.99,0.385571162880194
"cfg1_psi-0.23_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.2,0.465116279069767,"mixed","mc",0.00872411244982653,0.0841052083483635,0.0836933719824827,0.583,0.128191874411179
"cfg1_psi-0.23_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.23,-0.2,0.465116279069767,"mixed","mcmc",0.00740466099400112,0.0799816969098084,0.0796780485928462,0.994,0.433497109231423
