"psi","mu_b","true_zone","K","exV","sps","rmse_mc","rmse_mcmc","n"
-0.2,-0.4,"bias-dominated",25,0,0.1,0.118683844454745,0.116238736733141,1000
-0.2,-0.4,"bias-dominated",25,0.3,0.06,0.0984371947923698,0.0987344366068831,1000
-0.2,-0.4,"bias-dominated",25,0.3,0.1,0.127884238912732,0.127231213373206,1000
-0.2,-0.2,"mixed",12,0,0.06,0.0952927111401677,0.091689872944557,1000
-0.2,-0.2,"mixed",12,0,0.1,0.150443832407707,0.14311611707005,1000
-0.2,-0.2,"mixed",12,0.3,0.06,0.138254891347123,0.138259619770253,1000
-0.2,-0.2,"mixed",12,0.3,0.1,0.161104496854517,0.157555781941355,1000
-0.2,-0.2,"mixed",25,0,0.06,0.0865887213185525,0.0844632792691421,1000
-0.2,-0.2,"mixed",25,0,0.1,0.140904205275655,0.136563732776181,1000
-0.2,-0.2,"mixed",25,0.3,0.06,0.128316182056569,0.128562422312548,1000
-0.2,-0.2,"mixed",25,0.3,0.1,0.152537726743261,0.150045744447274,1000
-0.2,-0.1,"mixed",12,0,0.06,0.105542580365966,0.0968103766109073,1000
-0.2,-0.1,"mixed",12,0,0.1,0.167942379664892,0.150747688763644,1000
-0.2,-0.1,"mixed",12,0.3,0.06,0.175504464451308,0.164339657072517,1000
-0.2,-0.1,"mixed",12,0.3,0.1,0.182348298299647,0.168316001791178,1000
-0.2,-0.1,"mixed",25,0,0.06,0.0950180751787867,0.091061529140519,1000
-0.2,-0.1,"mixed",25,0,0.1,0.157741151491761,0.152142466415276,1000
-0.2,-0.1,"mixed",25,0.3,0.06,0.161438246355041,0.161203492781036,1000
-0.2,-0.1,"mixed",25,0.3,0.1,0.175042623009595,0.170339234070263,1000
-0.1,-0.4,"bias-dominated",12,0,0.06,0.0963538676782292,0.086397524701131,1000
-0.1,-0.4,"bias-dominated",12,0,0.1,0.119248891339982,0.111384376256955,1000
-0.1,-0.4,"bias-dominated",12,0.3,0.06,0.129379241264834,0.127912563932781,1000
-0.1,-0.4,"bias-dominated",12,0.3,0.1,0.156973744069473,0.152455471487872,1000
-0.1,-0.4,"bias-dominated",25,0,0.06,0.0881396404678552,0.0848062285513467,1000
-0.1,-0.4,"bias-dominated",25,0,0.1,0.114011003356137,0.109974968572348,1000
-0.1,-0.4,"bias-dominated",25,0.3,0.06,0.124424927250888,0.124111591180692,1000
-0.1,-0.4,"bias-dominated",25,0.3,0.1,0.151298194455575,0.150153949201555,1000
-0.1,-0.2,"bias-dominated",12,0,0.06,0.138556477821849,0.122209315044164,1000
-0.1,-0.2,"bias-dominated",12,0,0.1,0.164176389961651,0.147760510694085,1000
-0.1,-0.2,"bias-dominated",12,0.3,0.06,0.19382586672552,0.191130168426297,1000
-0.1,-0.2,"bias-dominated",12,0.3,0.1,0.219613092243164,0.211029689311317,1000
-0.1,-0.2,"bias-dominated",25,0,0.06,0.130558398653153,0.123308955614406,1000
-0.1,-0.2,"bias-dominated",25,0,0.1,0.163299580509554,0.154913486677824,1000
-0.1,-0.2,"bias-dominated",25,0.3,0.06,0.184344701714599,0.182503265209817,1000
-0.1,-0.2,"bias-dominated",25,0.3,0.1,0.210290256351039,0.206089099735925,1000
-0.1,-0.1,"mixed",12,0,0.06,0.177629989725387,0.148659766196941,1000
-0.1,-0.1,"mixed",12,0,0.1,0.201957314671691,0.170762179119093,1000
-0.1,-0.1,"mixed",12,0.3,0.06,0.268987272446354,0.251329146966798,1000
-0.1,-0.1,"mixed",12,0.3,0.1,0.280933145520704,0.257825549998573,1000
-0.1,-0.1,"mixed",25,0,0.06,0.175179415775274,0.157077701186273,1000
-0.1,-0.1,"mixed",25,0,0.1,0.194756443662278,0.176547617979373,1000
-0.1,-0.1,"mixed",25,0.3,0.06,0.246544541590605,0.242702715928223,1000
-0.1,-0.1,"mixed",25,0.3,0.1,0.2610280111607,0.250457431987534,1000
