"key","config_id","sigma_ps","K","ex_violation","psi","mu_b","bf_true","true_zone","Mean_BF_mc","ci_lo_mc","ci_hi_mc","Mean_BF_mcmc","ci_lo_mcmc","ci_hi_mcmc"
"cfg1_psi-0.3_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.3,-0.2,0.4,"mixed",0.402432074646528,0.346755125846099,0.457425724157407,0.401391644037226,0.21721912668743,0.5864812144293
"cfg1_psi-0.3_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.3,-0.3,0.5,"mixed",0.504882964741986,0.459149367913322,0.550754921225594,0.503644860901047,0.349165457945484,0.657296201035731
"cfg1_psi-0.3_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.3,-0.4,0.571428571428572,"bias-dominated",0.576987345590546,0.538074593329016,0.616170830121624,0.575858932181007,0.44383579192511,0.708602873199971
"cfg1_psi-0.4_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.4,-0.05,0.111111111111111,"effect-dominated",0.114128345070497,0.0561066920535556,0.174962444669968,0.119293209967313,0.00771169296988897,0.322566781795001
"cfg1_psi-0.4_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.4,-0.1,0.2,"effect-dominated",0.202522775104593,0.146683853014278,0.259078467054736,0.202392953237939,0.0353523598804981,0.387452497681604
"cfg1_psi-0.4_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.4,-0.15,0.272727272727273,"effect-dominated",0.278164283220423,0.228228227271837,0.328279688919013,0.277929020638828,0.108218400117914,0.447049922499719
"cfg1_psi-0.4_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.4,-0.2,0.333333333333333,"mixed",0.334654039985671,0.289311918056748,0.380018135682832,0.333765705989334,0.180546392775216,0.487195317315167
"cfg1_psi-0.4_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.4,-0.3,0.428571428571428,"mixed",0.430077078835335,0.391548163323682,0.46880038958079,0.429148400408286,0.297293589287445,0.560212937940001
"cfg1_psi-0.4_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.4,-0.4,0.5,"mixed",0.502994709404441,0.468545412024972,0.537523226335001,0.502197543407224,0.387025348824251,0.617704737828804
"cfg2_psi0_mu-0.05_sps0.1","sps0.1_K12_exV0",0.1,12,0,0,-0.05,1,"bias-dominated",0.444988574477523,0.268697676698247,0.594865224360558,0.430610618346367,0.0694728838813443,0.7993135580337
"cfg2_psi0_mu-0.1_sps0.1","sps0.1_K12_exV0",0.1,12,0,0,-0.1,1,"bias-dominated",0.605965281634989,0.496227360374474,0.704867636066078,0.579657626760515,0.191695136811616,0.824635473836693
"cfg2_psi0_mu-0.15_sps0.1","sps0.1_K12_exV0",0.1,12,0,0,-0.15,1,"bias-dominated",0.697495256471907,0.610070600880296,0.780194426786384,0.673995499989143,0.382256832340853,0.886250284642903
"cfg2_psi0_mu-0.2_sps0.1","sps0.1_K12_exV0",0.1,12,0,0,-0.2,1,"bias-dominated",0.746999471038525,0.672873810498689,0.8154979266741,0.728635300081834,0.497525232259756,0.909766950609413
"cfg2_psi0_mu-0.3_sps0.1","sps0.1_K12_exV0",0.1,12,0,0,-0.3,1,"bias-dominated",0.80398472287514,0.748143834849059,0.856468287436541,0.790632517701668,0.616858788827864,0.933627305496967
"cfg2_psi0_mu-0.4_sps0.1","sps0.1_K12_exV0",0.1,12,0,0,-0.4,1,"bias-dominated",0.838899349223427,0.79391105426486,0.881275960903064,0.829284134407971,0.689071890584232,0.946852558647369
"cfg2_psi-0.05_mu-0.05_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.05,-0.05,0.5,"mixed",0.42952577072519,0.244902103858979,0.583493938462937,0.409302820479222,0.0548782264615906,0.80213778116128
"cfg2_psi-0.05_mu-0.1_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.05,-0.1,0.666666666666667,"bias-dominated",0.583061477394644,0.457225943639164,0.692750226531671,0.559934818446349,0.151169644928314,0.846809510465052
"cfg2_psi-0.05_mu-0.15_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.05,-0.15,0.75,"bias-dominated",0.676402135347683,0.578512708836927,0.766562273858504,0.655445374553713,0.329426144331999,0.89522185673635
"cfg2_psi-0.05_mu-0.2_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.05,-0.2,0.8,"bias-dominated",0.722922640420662,0.640860840452028,0.798485644842044,0.705900030395578,0.443007593230326,0.908823947296429
"cfg2_psi-0.05_mu-0.3_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.05,-0.3,0.857142857142857,"bias-dominated",0.784687067306746,0.723571567382707,0.840931839889651,0.772405602898405,0.580907886952419,0.928055710660324
"cfg2_psi-0.05_mu-0.4_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.05,-0.4,0.888888888888889,"bias-dominated",0.822775019563432,0.77452036924205,0.86784004724014,0.813884266929319,0.658334775666687,0.939576259388956
"cfg2_psi-0.1_mu-0.05_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.1,-0.05,0.333333333333333,"mixed",0.37052228295005,0.201639287349916,0.528008611663075,0.36219226142683,0.0422768267999421,0.769630924997919
"cfg2_psi-0.1_mu-0.1_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.1,-0.1,0.5,"mixed",0.515357335754977,0.393047670786488,0.629904542583379,0.500264864067209,0.11184194195968,0.808765541118449
"cfg2_psi-0.1_mu-0.15_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.1,-0.15,0.6,"bias-dominated",0.619792733229409,0.521765819140584,0.709321470348722,0.603222771537875,0.273082820798816,0.855733241573093
