psi_f,mu_f,bf_hat_bin,n,med,q1,q3,loa_lo,loa_hi
-0.01,-0.3,"[0.6, 0.7)",1177,-0.3093480922352,-0.333610985272855,-0.287603778540838,-0.364146665827751,-0.269784798310906
-0.01,-0.3,"[0.5, 0.6)",459,-0.40175280934972,-0.423558105071689,-0.383751650805965,-0.460879818687371,-0.36959796878063
-0.01,-0.4,"[0.8, 0.9)",2593,-0.122675169083593,-0.148420083635089,-0.0999864195456222,-0.17274738852283,-0.0785712721410806
-0.01,-0.4,"[0.9, 1.0)",2906,-0.0276355497603804,-0.0516643863573735,-0.00163131199216218,-0.0734394468272712,0.0215634802049692
-0.01,-0.4,"[0.7, 0.8)",1683,-0.217563916959068,-0.243093994297524,-0.194276507108487,-0.272067585019235,-0.177850158089929
-0.01,-0.4,"[0.6, 0.7)",685,-0.310159864931508,-0.333241804123918,-0.290217843280514,-0.371334170928292,-0.2778187271954
-0.05,-0.05,"[0.6, 0.7)",450,0.142679391621545,0.119148816217976,0.172771527900028,0.10183505537677,0.195629870198772
-0.05,-0.05,"[0.4, 0.5)",710,-0.0513832892770546,-0.0753131123650927,-0.0293034335134174,-0.0968878797671571,-0.00406178530005516
-0.05,-0.05,"[0.5, 0.6)",540,0.0473999417057995,0.0196581892661975,0.0691176675881568,0.00163375190345068,0.0961782911919783
-0.05,-0.05,"[0.3, 0.4)",971,-0.153590539114096,-0.178908517072257,-0.127073110208724,-0.198068545252748,-0.102979483192974
-0.05,-0.05,"[0.2, 0.3)",1055,-0.251326468892561,-0.276363112584953,-0.225320630689027,-0.297598063096845,-0.203249806111512
-0.05,-0.05,"[0.1, 0.2)",1267,-0.355718926656931,-0.380655298055274,-0.327394898054778,-0.39781147930112,-0.302404973045559
-0.05,-0.05,"[0.8, 0.9)",264,0.346283337643767,0.32306070254165,0.371312930869599,0.303563574038479,0.394118288354409
-0.05,-0.05,"[0.7, 0.8)",335,0.245874035249298,0.222883862980628,0.269271727076971,0.203501004089038,0.296271368901116
-0.05,-0.05,"[0.9, 1.0)",194,0.447371705969037,0.422993589379349,0.47065895059499,0.403023710164228,0.497905530246404
-0.05,-0.05,"[0.0, 0.1)",2214,-0.454383093687457,-0.477624471298568,-0.427576700844455,-0.496828857443615,-0.403080512954472
-0.05,-0.1,"[0.3, 0.4)",1270,-0.317911867724999,-0.341970424266064,-0.292813970295196,-0.363789250785344,-0.269597274202706
-0.05,-0.1,"[0.8, 0.9)",587,0.179011111452006,0.157191485015481,0.204627425033849,0.135323072089154,0.231328258295421
-0.05,-0.1,"[0.4, 0.5)",1230,-0.217358659428349,-0.242747074417133,-0.191301998020145,-0.264453699563015,-0.169159486427182
-0.05,-0.1,"[0.6, 0.7)",897,-0.0213119381870771,-0.0423655723667848,0.00683894060915813,-0.0643865340050988,0.0311433504622742
