cond,n,bf_true,true_log_rr,bias_mu,n_nc,se_psi_obs,coverage_current,coverage_joint,half_cur,half_jnt
cfg10_psi-0.23_mu-0.25_sps0.1,200,0.520833333333333,-0.23,-0.25,50,0.1,55,97,0.0754186370356663,0.249625174713783
cfg10_psi-0.23_mu-0.2_sps0.1,200,0.465116279069768,-0.23,-0.2,50,0.1,56.5,95,0.0820557716357371,0.261567634248991
cfg10_psi-0.23_mu-0.15_sps0.1,200,0.394736842105263,-0.23,-0.15,50,0.1,66.5,98,0.0943503107522373,0.268921945621244
cfg10_psi-0.23_mu-0.1_sps0.1,200,0.303030303030303,-0.23,-0.1,50,0.1,74,99.5,0.10500292563996,0.281246511874031
cfg10_psi-0.23_mu-0.05_sps0.1,200,0.178571428571429,-0.23,-0.05,50,0.1,93.5,99.5,0.123213164770802,0.268376345629981
cfg10_psi-0.18_mu-0.4_sps0.1,200,0.689655172413793,-0.18,-0.4,50,0.1,40.5,96.5,0.0595622989166826,0.209205821504442
cfg10_psi-0.18_mu-0.35_sps0.1,200,0.660377358490566,-0.18,-0.35,50,0.1,38.5,97.5,0.0672331972491166,0.223370151966956
cfg10_psi-0.18_mu-0.3_sps0.1,200,0.625,-0.18,-0.3,50,0.1,37,98.5,0.0714208720815523,0.23686225165303
cfg10_psi-0.18_mu-0.25_sps0.1,200,0.581395348837209,-0.18,-0.25,50,0.1,47.5,96,0.0819132937472002,0.259544666596023
cfg10_psi-0.18_mu-0.2_sps0.1,200,0.526315789473684,-0.18,-0.2,50,0.1,49,97.5,0.0926068328692317,0.277331989464687
cfg10_psi-0.18_mu-0.15_sps0.1,200,0.454545454545455,-0.18,-0.15,50,0.1,57.5,95.5,0.10779482645515,0.300871773945668
cfg10_psi-0.18_mu-0.1_sps0.1,200,0.357142857142857,-0.18,-0.1,50,0.1,65,97,0.120581771699872,0.333337149085942
cfg10_psi-0.18_mu-0.05_sps0.1,200,0.217391304347826,-0.18,-0.05,50,0.1,87.5,99.5,0.147368301372484,0.347887691268631
cfg10_psi-0.14_mu-0.4_sps0.1,200,0.740740740740741,-0.14,-0.4,50,0.1,37,96.5,0.0625830249569399,0.206401438879149
cfg10_psi-0.14_mu-0.35_sps0.1,200,0.714285714285714,-0.14,-0.35,50,0.1,44,96.5,0.0698603876466821,0.226511390348583
cfg10_psi-0.14_mu-0.3_sps0.1,200,0.681818181818182,-0.14,-0.3,50,0.1,37.5,97,0.0764489222975726,0.238498051544127
cfg10_psi-0.14_mu-0.25_sps0.1,200,0.641025641025641,-0.14,-0.25,50,0.1,43,99,0.0859339673069877,0.260414115083843
cfg10_psi-0.14_mu-0.2_sps0.1,200,0.588235294117647,-0.14,-0.2,50,0.1,44.5,97,0.102691597422157,0.280750934539597
cfg10_psi-0.14_mu-0.15_sps0.1,200,0.517241379310345,-0.14,-0.15,50,0.1,48.5,97,0.117636855616635,0.30985828333236
