"score","x_bd","y_bd","x_ed","y_ed"
"Calibrated P alone",0.0335767543859649,0.205327380952381,0.851148717948718,0.985044444444444
"Calibrated P alone",0.0325394736842105,0.199896825396825,0.855121794871795,0.985661111111111
"Calibrated P alone",0.0314802631578947,0.194484126984127,0.859119230769231,0.986177777777778
"Calibrated P alone",0.0304890350877193,0.189009920634921,0.863115384615385,0.9867
"Calibrated P alone",0.0294320175438596,0.183597222222222,0.867107692307692,0.987233333333333
"Calibrated P alone",0.0283289473684211,0.178224206349206,0.871082051282051,0.98785
"Calibrated P alone",0.0273004385964912,0.17278373015873,0.875088461538462,0.988327777777778
"Calibrated P alone",0.0263662280701754,0.167257936507936,0.87911282051282,0.988727777777778
"Calibrated P alone",0.0254298245614035,0.161736111111111,0.883132051282051,0.989144444444444
"Calibrated P alone",0.0244342105263158,0.156265873015873,0.887115384615385,0.989722222222222
"Calibrated P alone",0.0234912280701754,0.150748015873016,0.891130769230769,0.990161111111111
"Calibrated P alone",0.0225,0.145275793650794,0.895147435897436,0.990588888888889
"Calibrated P alone",0.021530701754386,0.139781746031746,0.89913717948718,0.991138888888889
"Calibrated P alone",0.0206184210526316,0.134236111111111,0.903157692307692,0.991555555555556
"Calibrated P alone",0.0196315789473684,0.128759920634921,0.907166666666667,0.992016666666667
"Calibrated P alone",0.0186754385964912,0.123253968253968,0.911176923076923,0.992477777777778
"Calibrated P alone",0.0177258771929825,0.117742063492063,0.915208974358974,0.992844444444444
"Calibrated P alone",0.016828947368421,0.11218253968254,0.91923717948718,0.993227777777778
"Calibrated P alone",0.0159956140350877,0.10656746031746,0.923271794871795,0.993577777777778
"Calibrated P alone",0.0151074561403509,0.101,0.927303846153846,0.993944444444444
"Calibrated P alone",0.0142280701754386,0.0954246031746032,0.931346153846154,0.994266666666667
"Calibrated P alone",0.0133837719298246,0.0898194444444444,0.935364102564103,0.994688888888889
"Calibrated P alone",0.0124649122807018,0.0842797619047619,0.939375641025641,0.995144444444444
"Calibrated P alone",0.0116425438596491,0.0786527777777778,0.943408974358974,0.995505555555556
"Calibrated P alone",0.0107697368421053,0.0730734126984127,0.947434615384615,0.995894444444444
"Calibrated P alone",0.00994736842105263,0.0674464285714286,0.951465384615385,0.996266666666667
"Calibrated P alone",0.0091469298245614,0.0617996031746032,0.955507692307692,0.996588888888889
"Calibrated P alone",0.00833114035087719,0.0561666666666667,0.959542307692308,0.996944444444444
"Calibrated P alone",0.00748026315789474,0.0505674603174603,0.963605128205128,0.997172222222222
"Calibrated P alone",0.00667324561403509,0.0449265873015873,0.967648717948718,0.997488888888889
"Calibrated P alone",0.00581359649122807,0.0393333333333333,0.971676923076923,0.997872222222222
"Calibrated P alone",0.00495614035087719,0.0337400793650794,0.975725641025641,0.998161111111111
"Calibrated P alone",0.00414912280701754,0.0280992063492063,0.979766666666667,0.998488888888889
"Calibrated P alone",0.00333114035087719,0.022468253968254,0.983830769230769,0.998716666666667
"Calibrated P alone",0.00246491228070175,0.0168829365079365,0.987866666666667,0.999061111111111
"Calibrated P alone",0.00164035087719298,0.0112579365079365,0.99191282051282,0.999366666666667
"Calibrated P alone",0.000859649122807018,0.00559325396825397,0.995946153846154,0.999727777777778
"Calibrated P alone",0,1.98412698412698e-06,1,1
"BAF-hat alone",1,1,0,5.55555555555556e-06
"BAF-hat alone",0.992958333333333,1,3.84615384615385e-06,0.0178222222222222
"BAF-hat alone",0.985921052631579,0.999996031746032,4.48717948717949e-05,0.0354833333333333
"BAF-hat alone",0.978888157894737,0.999988095238095,0.000130769230769231,0.05295
"BAF-hat alone",0.971879385964912,0.999960317460317,0.000282051282051282,0.0701277777777778
"BAF-hat alone",0.964885964912281,0.999916666666667,0.000493589743589744,0.08705
"BAF-hat alone",0.957912280701754,0.999855158730159,0.000783333333333333,0.103633333333333
"BAF-hat alone",0.950927631578947,0.999805555555556,0.0011025641025641,0.120083333333333
"BAF-hat alone",0.943967105263158,0.999732142857143,0.00148205128205128,0.136277777777778
"BAF-hat alone",0.93703947368421,0.999628968253968,0.00188333333333333,0.152377777777778
"BAF-hat alone",0.930131578947368,0.999509920634921,0.00233846153846154,0.168238888888889
"BAF-hat alone",0.923195175438597,0.999414682539683,0.00272820512820513,0.184388888888889
"BAF-hat alone",0.916263157894737,0.999315476190476,0.00314102564102564,0.200438888888889
"BAF-hat alone",0.90933552631579,0.999212301587302,0.00361538461538462,0.216222222222222
"BAF-hat alone",0.902416666666667,0.999103174603175,0.00407948717948718,0.232044444444444
"BAF-hat alone",0.895526315789474,0.99896626984127,0.00453974358974359,0.247888888888889
"BAF-hat alone",0.888620614035088,0.998843253968254,0.00502564102564103,0.263622222222222
"BAF-hat alone",0.881717105263158,0.998720238095238,0.00553589743589744,0.279244444444444
"BAF-hat alone",0.874848684210526,0.998563492063492,0.00603333333333333,0.294927777777778
"BAF-hat alone",0.867995614035088,0.998392857142857,0.00660641025641026,0.310283333333333
"BAF-hat alone",0.861151315789474,0.99821626984127,0.00722179487179487,0.32545
"BAF-hat alone",0.854304824561404,0.998039682539683,0.00783589743589744,0.340627777777778
"BAF-hat alone",0.847421052631579,0.997896825396825,0.00840897435897436,0.355983333333333
"BAF-hat alone",0.840594298245614,0.997702380952381,0.0091025641025641,0.370816666666667
"BAF-hat alone",0.833769736842105,0.997507936507936,0.00981153846153846,0.385577777777778
"BAF-hat alone",0.826936403508772,0.997319444444444,0.0105538461538462,0.4002
"BAF-hat alone",0.820146929824561,0.99709126984127,0.0113692307692308,0.414505555555556
"BAF-hat alone",0.813344298245614,0.996876984126984,0.0121871794871795,0.428794444444444
"BAF-hat alone",0.806559210526316,0.996644841269841,0.0130935897435897,0.442705555555556
"BAF-hat alone",0.799798245614035,0.996390873015873,0.0139948717948718,0.456638888888889
