"rep_id","mu_b","sigma_b","obs_log_rr","bsr_est","bf_est","pt_class"
30,-0.128330068662935,0.0264462175027312,-0.457693213037866,0.389630931252131,0.280384469350472,"effect-dominated"
31,-0.182197980258187,0.0466740094090895,-0.424471327399717,0.7520347673727,0.429235070774554,"competitive"
32,-0.124157048407279,0.0862778462091746,-0.567788086594279,0.279865558809129,0.21866793498962,"effect-dominated"
33,-0.160856787647738,0.0292470286196424,-0.455648797071334,0.545661966761782,0.353028009031602,"competitive"
34,-0.191792795759485,2.5018634249416e-05,-0.553439381755507,0.530332106499119,0.34654706925828,"competitive"
35,-0.13600092698008,0.0760348129251193,-0.58676587537437,0.301711407385469,0.231780566470925,"effect-dominated"
36,-0.115043665841956,0.0443966649995966,-0.431123658604086,0.363970097685158,0.266846097508197,"effect-dominated"
37,-0.161995640819013,0.0612613463172313,-0.524368150786254,0.447041749479445,0.308934935457296,"effect-dominated"
38,-0.157786753025417,0.0700561669279907,-0.578414541019554,0.375122037889748,0.272791815965227,"effect-dominated"
39,-0.150591676392272,0.0710476433713061,-0.543421656191509,0.383350772945676,0.277117547076927,"effect-dominated"
40,-0.0879252834028838,0.0543657618557334,-0.467732929900897,0.231499508273706,0.187981811375807,"effect-dominated"
41,-0.145121665210546,0.0552190943200243,-0.499837075631155,0.409121399711577,0.29033793667126,"effect-dominated"
42,-0.129366369645763,0.075460649381672,-0.449192594569672,0.404489562031821,0.287997556526274,"effect-dominated"
43,-0.167377109370532,0.052215195561713,-0.537035503417457,0.452788607173586,0.311668610930595,"effect-dominated"
44,-0.190656911742191,3.71969515463567e-05,-0.466823975149948,0.690368030820133,0.408412853433569,"competitive"
45,-0.143787530880644,0.029115140818536,-0.509400652641219,0.39327781833499,0.282268053908279,"effect-dominated"
46,-0.112318820713941,0.0722654593075136,-0.454323097850236,0.328413497206585,0.247222342965635,"effect-dominated"
47,-0.158031475594855,0.0365670873833889,-0.446656278364774,0.54753255464615,0.35381003973215,"competitive"
48,-0.138947186849865,0.0578659460640346,-0.575122104920029,0.318558406486622,0.241595977030278,"effect-dominated"
49,-0.161727319697574,0.000185547009912307,-0.482539873008817,0.504117803459739,0.335158457868245,"competitive"
50,-0.146946158890271,0.0725464470410395,-0.519443985281084,0.394488634508435,0.282891251134144,"effect-dominated"
51,-0.145536693143259,0.057299252552751,-0.453667246345209,0.47232152615477,0.320800530158872,"effect-dominated"
52,-0.147615427464767,0.0517834655691595,-0.513295675049467,0.403673505582432,0.287583618253829,"effect-dominated"
53,-0.157693971166015,1.96771353900129e-05,-0.553044256076473,0.398871525289859,0.28513806884961,"effect-dominated"
54,-0.147785528884532,0.0348057969301078,-0.507813142282602,0.410483872305457,0.291023442639238,"effect-dominated"
55,-0.165716796809539,0.0787172587204098,-0.557149775916646,0.423359312206023,0.297436710868088,"effect-dominated"
56,-0.169561746273306,0.0875354958896699,-0.45194686103597,0.600462763116315,0.375180714574786,"competitive"
57,-0.164587799337098,9.43580108513122e-05,-0.573757951896637,0.402247813794649,0.28685929108787,"effect-dominated"
58,-0.145382250831126,0.057249315532153,-0.442590534853622,0.489159483926504,0.328480252925446,"effect-dominated"
59,-0.129703321146652,0.0404866265712534,-0.492135772966757,0.357868950463165,0.263551906346409,"effect-dominated"
60,-0.175033884995702,8.35046634431975e-05,-0.430357054544195,0.685538587450671,0.40671782453081,"competitive"
61,-0.15546650449249,0.0900465728472288,-0.512558337466862,0.435368412650445,0.303314750981963,"effect-dominated"
62,-0.152769050178491,0.0686164081490439,-0.51255014604569,0.42461666811666,0.298056787920362,"effect-dominated"
63,-0.125358020393488,0.0724803792192245,-0.502760522872891,0.332160013698717,0.249339426407554,"effect-dominated"
64,-0.159594030706901,0.0694544309302862,-0.474535882899747,0.506741259047332,0.336316043650208,"competitive"
65,-0.163724035339291,0.0361639511089563,-0.401907988825729,0.687384825647432,0.407366959332285,"competitive"
66,-0.181244075559416,0.0936897207327719,-0.471852586376468,0.623670914006768,0.384111650105083,"competitive"
67,-0.154809950421566,0.0791768377385578,-0.399380494069424,0.632986900681168,0.387625216354846,"competitive"
68,-0.170760570330116,3.21206885706405e-05,-0.516768280003379,0.493516663230903,0.33043934184389,"effect-dominated"
69,-0.149319831858217,0.0619809966982193,-0.570302043962109,0.354693921892754,0.261825875321845,"effect-dominated"
70,-0.154487751499773,0.0459039098190499,-0.397891958386152,0.634696308153329,0.388265578742468,"competitive"
71,-0.119162014864565,0.0571270684777807,-0.429019921994686,0.384569869357973,0.277754036014303,"effect-dominated"
72,-0.138790672697128,0.0689432366751474,-0.539974482845328,0.345952825578524,0.257031910037281,"effect-dominated"
73,-0.140696393856125,0.0552523393634636,-0.403202635293049,0.535973518518916,0.348947108824985,"competitive"
74,-0.132771100950447,0.0501358754906913,-0.468463781043793,0.395513839960787,0.283418070559516,"effect-dominated"
75,-0.143097231405317,0.0335717806182135,-0.574153534641334,0.331968771436726,0.249231647584837,"effect-dominated"
76,-0.110203816496696,0.0736415541388609,-0.458269055822318,0.316618277395973,0.240478415674272,"effect-dominated"
77,-0.151639702365681,0.0296127081290702,-0.559305049983292,0.3719710376461,0.271121639917628,"effect-dominated"
78,-0.14371214295597,6.80741373154936e-05,-0.466204379648551,0.445629775246235,0.308259958999759,"effect-dominated"
79,-0.136060014236361,0.0730145243671891,-0.594480343048693,0.296801877414257,0.228872183626123,"effect-dominated"
80,-0.138787727145387,0.0577406750167068,-0.526585503675517,0.357886856359021,0.263561617584725,"effect-dominated"
81,-0.130962755218906,0.0761737322609552,-0.551847711528008,0.311160456689561,0.237316840286035,"effect-dominated"
82,-0.136135585340131,0.0790232387923642,-0.393083515657363,0.529817792935932,0.346327383157924,"competitive"
83,-0.142214678744186,0.0281569727147967,-0.46159427545457,0.44528417033837,0.308094546025589,"effect-dominated"
84,-0.144509169734049,0.0724399595487,-0.537481202467175,0.367733980275864,0.268863672014418,"effect-dominated"
85,-0.169266873430416,0.0290137433863006,-0.531513659812662,0.467269496358773,0.318461944120262,"effect-dominated"
86,-0.156534902034646,0.0188613053823012,-0.544425956078639,0.403553782441429,0.28752284913476,"effect-dominated"
87,-0.145909190066918,0.0784326593510853,-0.566098753042277,0.347246107289615,0.25774511829038,"effect-dominated"
88,-0.150853016500141,0.0337008171354106,-0.511811992035345,0.417922885215603,0.294743028392588,"effect-dominated"
89,-0.151773252433235,0.035753359274875,-0.562753530165665,0.369295707498761,0.269697557274417,"effect-dominated"
90,-0.165474001841763,5.16326363726493e-05,-0.5165854653158,0.471286241139772,0.320322604780615,"effect-dominated"
91,-0.140907930252123,0.0518655951449554,-0.482422440182189,0.412597199108693,0.292084112420037,"effect-dominated"
92,-0.121410800791866,0.0595342771946663,-0.545481838017737,0.286298261692415,0.222575331257717,"effect-dominated"
93,-0.167441697887049,0.0434320195008959,-0.529097285594195,0.462986619254551,0.316466749019523,"effect-dominated"
94,-0.159188055081973,4.15624441540971e-05,-0.466436585632032,0.518108434227439,0.341285525161517,"competitive"
95,-0.180877685392766,0.0591537593407584,-0.507660939116568,0.553509653054756,0.356296243133319,"competitive"
96,-0.148904520661671,0.064707144748712,-0.543096282129666,0.377746404712116,0.274177020836463,"effect-dominated"
97,-0.152888436645118,0.0331099830186593,-0.553784913538152,0.381366376252569,0.27607909299715,"effect-dominated"
98,-0.152491920911744,0.0500089648957719,-0.59207196676523,0.346903646674103,0.257556394275648,"effect-dominated"
99,-0.143159455378023,0.0118282878883951,-0.596151345199996,0.316030945795266,0.240139448699887,"effect-dominated"
100,-0.149867497997824,0.0649655601449281,-0.552288480459527,0.372414721223156,0.271357276677449,"effect-dominated"
101,-0.154721603990067,0.084353078798516,-0.533273143078179,0.408720050016898,0.290135751253058,"effect-dominated"
102,-0.127699725797954,0.0667983580387599,-0.505785010262003,0.337753758332525,0.252478272797773,"effect-dominated"
103,-0.137611747123597,0.056999215698144,-0.525391682869185,0.354870725477352,0.261922203206747,"effect-dominated"
104,-0.142811111529604,0.0467357594313434,-0.435589661781707,0.487778600606614,0.327856981144729,"effect-dominated"
105,-0.140910649026229,0.0484252523890813,-0.417273919447256,0.509874734119185,0.337693401046697,"competitive"
106,-0.159349068652876,0.0290690843781951,-0.527413657740495,0.432937786946256,0.302132996205573,"effect-dominated"
107,-0.148519977477397,0.0602890957281905,-0.565962023959528,0.355785859927156,0.262420394284295,"effect-dominated"
108,-0.12163312817994,0.0584131851642475,-0.396901562152369,0.441870963643159,0.306456662756207,"effect-dominated"
109,-0.173423543663552,0.080069398382907,-0.574566304918165,0.432323752075578,0.301833821752309,"effect-dominated"
110,-0.158969155688167,0.0442418272795637,-0.490945318598354,0.478857139303625,0.323802162208253,"effect-dominated"
